PostalCode,BurglaryRate,Neighborhood
3067,1.587301587,Abbotsford
3040,0.680272109,Aberfeldie
3042,0.714285714,Airport West
3021,1.612903226,Albanvale
3206,1.136363636,Albert Park
3020,1.5625,Albion
3078,1.01010101,Alphington
3028,0.328947368,Altona Meadows
3025,0.714285714,Altona North
3018,0.735294118,Altona
3022,1.234567901,Ardeer
3143,0.602409639,Armadale
3032,0.757575758,Ascot Vale
3147,1.265822785,Ashburton
3147,1.265822785,Ashwood
3195,0.735294118,Aspendale Gardens
3195,0.735294118,Aspendale
3049,0.653594771,Attwood
3034,0.490196078,Avondale Heights
3183,0.763358779,Balaclava
3104,1.01010101,Balwyn North
3103,0.78125,Balwyn
3153,0.558659218,Bayswater North
3153,0.558659218,Bayswater
3807,0.8,Beaconsfield
3193,0.78125,Beaumaris
3160,0.625,Belgrave Heights
3160,0.625,Belgrave South
3160,0.625,Belgrave
3081,1.785714286,Bellfield
3165,0.99009901,Bentleigh East
3165,0.99009901,Bentleigh
3806,0.636942675,Berwick
3918,0.840336134,Bittern
3130,0.675675676,Blackburn North
3130,0.675675676,Blackburn South
3130,0.675675676,Blackburn
3942,0.840336134,Blairgowrie
3196,0.689655172,Bonbeach
3155,0.793650794,Boronia
3129,1.01010101,Box Hill North
3128,0.826446281,Box Hill South
3128,0.826446281,Box Hill
3195,0.735294118,Braeside
3019,2.564102564,Braybrook
3088,0.847457627,Briar Hill
3187,0.892857143,Brighton East
3186,1.333333333,Brighton
3047,1.333333333,Broadmeadows
3338,1.666666667,Brookfield
3012,0.529100529,Brooklyn
3057,0.769230769,Brunswick East
3055,0.666666667,Brunswick West
3105,0.769230769,Bulleen
3083,1.086956522,Bundoora
3121,0.854700855,Burnley
3151,0.925925926,Burwood East
3125,0.806451613,Burwood
3023,0.787401575,Cairnlea
3037,0.909090909,Calder Park
3124,0.854700855,Camberwell
3061,1.19047619,Campbellfield
3126,0.793650794,Canterbury
3054,1.041666667,Carlton North
3053,0.81300813,Carlton
3163,0.617283951,Carnegie
3023,0.787401575,Caroline Springs
3201,0.609756098,Carrum Downs
3197,0.609756098,Carrum
3145,1.098901099,Caulfield East
3161,1.098901099,Caulfield North
3162,1,Caulfield South
3145,1.098901099,Caulfield
3148,1.282051282,Chadstone
3196,0.689655172,Chelsea Heights
3196,0.689655172,Chelsea
3192,0.684931507,Cheltenham
3116,0.483091787,Chirnside Park
3169,0.806451613,Clarinda
3169,0.806451613,Clayton South
3168,1.333333333,Clayton
3068,1.25,Clifton Hill
3978,2.173913043,Clyde North
3058,1.098901099,Coburg North
3058,1.098901099,Coburg
3066,1.724137931,Collingwood
3048,1.428571429,Coolaroo
3064,1.020408163,Craigieburn
3977,1.162790698,Cranbourne East
3977,1.162790698,Cranbourne North
3977,1.162790698,Cranbourne West
3977,1.162790698,Cranbourne
3121,0.854700855,Cremorne
3919,0.892857143,Crib Point
3136,0.588235294,Croydon Hills
3136,0.588235294,Croydon North
3136,0.588235294,Croydon South
3136,0.588235294,Croydon
3047,1.923076923,Dallas
3175,1.639344262,Dandenong North
3030,0.952380952,Derrimut
3089,0.787401575,Diamond Creek
3427,1.754385965,Diggers Rest
3172,0.833333333,Dingley Village
3008,0.806451613,Docklands
3109,0.71942446,Doncaster East
3108,0.892857143,Doncaster
3111,1.01010101,Donvale
3754,0.666666667,Doreen
3177,1.388888889,Doveton
3936,0.952380952,Dromana
3084,0.961538462,Eaglemont
3002,0.699300699,East Melbourne
3196,0.689655172,Edithvale
3185,0.78125,Elsternwick
3095,0.67114094,Eltham North
3095,0.67114094,Eltham
3184,0.793650794,Elwood
3782,0.763358779,Emerald
3802,0.628930818,Endeavour Hills
3076,0.684931507,Epping
3041,0.877192982,Essendon North
3040,0.680272109,Essendon West
3040,0.680272109,Essendon
3177,1.388888889,Eumemmerring
3338,1.666666667,Eynesbury
3078,1.01010101,Fairfield
3060,0.757575758,Fawkner
3156,0.909090909,Ferntree Gully
3068,1.25,Fitzroy North
3065,1.754385965,Fitzroy
3031,0.578034682,Flemington
3011,0.81300813,Footscray
3131,0.574712644,Forest Hill
3200,1.369863014,Frankston North
3199,1.123595506,Frankston South
3199,1.123595506,Frankston
3185,0.78125,Gardenvale
3043,1.01010101,Gladstone Park
3163,0.617283951,Glen Huntly
3146,0.729927007,Glen Iris
3150,0.675675676,Glen Waverley
3046,1.234567901,Glenroy
3043,1.01010101,Gowanbrae
3088,0.847457627,Greensborough
3059,0.877192982,Greenvale
3046,1.234567901,Hadfield
3803,0.757575758,Hallam
3188,1.234567901,Hampton East
3976,0.917431193,Hampton Park
3188,1.234567901,Hampton
3915,1.666666667,Hastings
3123,0.471698113,Hawthorn East
